,"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),"Domestic Beer (0,5 liter draught)","Imported Beer (0,33 liter bottle)","Coke/Pepsi (0,33 liter bottle)","Water (0,33 liter bottle) ","Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Local Cheese (1kg),"Water (1,5 liter bottle)",Bottle of Wine (Mid-Range),"Domestic Beer (0,5 liter bottle)","Imported Beer (0,33 liter bottle)",Cigarettes 20 Pack (Marlboro),One-way Ticket (Local Transport),"Chicken Breasts (Boneless, Skinless), (1kg)",Monthly Pass (Regular Price),Gasoline (1 liter),Volkswagen Golf,Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","1 min, of Prepaid Mobile Tariff Local (No Discounts or Plans)","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ,,,)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,Average Monthly Net Salary (After Tax),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",Taxi Start (Normal Tariff),Taxi 1km (Normal Tariff),Taxi 1hour Waiting (Normal Tariff),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),Cappuccino (regular),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),"Toyota Corolla 1,6l 97kW Comfort (Or Equivalent New Car)","Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child","International Primary School, Yearly for 1 Child"
"Colombo, Sri Lanka","1,49 €","14,90 €","4,22 €","1,49 €","2,48 €","0,56 €","0,22 €","1,09 €","0,42 €","1,08 €","10,49 €","0,49 €","12,42 €","1,05 €","1,66 €","5,96 €","0,12 €","3,56 €","4,97 €","0,71 €","24.834,98 €","325,83 €","116,89 €","768,96 €","272,27 €","37,91 €","0,01 €","13,95 €","15,47 €","5,12 €","3,48 €","25,09 €","18,11 €","50,58 €","28,05 €","1.935,85 €","933,95 €","244,23 €","14,45 €","0,30 €","0,25 €","0,60 €","2,40 €","2,17 €","0,84 €","0,76 €","2,21 €","0,52 €","0,76 €","0,83 €","0,74 €","5,25 €","32.151,75 €","45,28 €","788,02 €"
"Chennai, India","1,52 €","7,59 €","3,35 €","1,90 €","3,16 €","0,42 €","0,19 €","0,60 €","0,41 €","0,75 €","4,88 €","0,39 €","6,33 €","1,49 €","2,59 €","3,80 €","0,25 €","2,80 €","12,66 €","0,98 €","11.390,48 €","163,90 €","98,51 €","398,88 €","225,75 €","35,72 €","0,01 €","11,19 €","17,63 €","5,58 €","2,53 €","26,94 €","23,73 €","38,55 €","29,83 €","1.647,69 €","672,80 €","403,82 €","9,89 €","1,27 €","0,19 €","0,76 €","2,03 €","1,08 €","0,45 €","0,36 €","1,30 €","0,67 €","0,41 €","0,78 €","0,45 €","4,17 €","21.604,75 €","51,12 €","1.470,30 €"
"Bangkok, Thailand","1,78 €","23,74 €","5,04 €","2,37 €","4,45 €","0,51 €","0,27 €","1,51 €","0,99 €","1,67 €","19,58 €","0,51 €","22,25 €","1,79 €","3,52 €","4,38 €","1,04 €","2,70 €","35,61 €","0,89 €","38.574,86 €","611,26 €","299,91 €","1.819,06 €","803,37 €","88,89 €","0,05 €","20,69 €","61,07 €","8,37 €","7,42 €","55,13 €","33,30 €","88,52 €","85,25 €","4.978,84 €","2.299,65 €","668,60 €","5,57 €","1,04 €","0,25 €","3,56 €","2,81 €","2,20 €","1,24 €","0,95 €","2,07 €","1,20 €","1,41 €","1,16 €","1,13 €","12,62 €","25.233,71 €","244,68 €","13.741,17 €"
"Ahmedabad, India","1,90 €","8,86 €","3,16 €","1,90 €","3,80 €","0,39 €","0,19 €","0,64 €","0,45 €","0,83 €","5,83 €","0,35 €","7,59 €","1,59 €","2,99 €","3,16 €","0,25 €","3,39 €","5,06 €","0,91 €","10.757,68 €","199,17 €","149,35 €","366,69 €","267,89 €","47,94 €","0,01 €","7,34 €","18,18 €","7,92 €","3,16 €","25,76 €","31,09 €","42,83 €","29,11 €","780,22 €","397,97 €","303,54 €","9,75 €","0,63 €","0,19 €","0,89 €","1,48 €","0,77 €","0,28 €","0,49 €","1,40 €","0,74 €","0,41 €","0,48 €","0,33 €","5,70 €","20.809,53 €","51,34 €","1.218,73 €"
"Hyderabad, India","1,90 €","8,86 €","3,80 €","1,52 €","2,53 €","0,42 €","0,18 €","0,62 €","0,45 €","0,78 €","5,11 €","0,37 €","8,86 €","1,44 €","2,36 €","3,80 €","0,25 €","3,02 €","12,02 €","0,98 €","11.517,04 €","156,95 €","92,66 €","392,34 €","221,72 €","21,79 €","0,01 €","9,47 €","18,10 €","7,02 €","2,53 €","26,60 €","26,36 €","41,62 €","32,19 €","966,07 €","537,56 €","441,12 €","9,53 €","0,63 €","0,19 €","0,95 €","1,94 €","0,98 €","0,35 €","0,57 €","1,17 €","0,65 €","0,44 €","0,57 €","0,33 €","4,16 €","21.345,77 €","60,32 €","1.715,91 €"
"Tunis, Tunisia","1,92 €","12,78 €","3,19 €","1,60 €","1,60 €","0,50 €","0,28 €","0,39 €","0,10 €","0,82 €","6,52 €","0,22 €","4,79 €","0,74 €","0,90 €","2,08 €","0,16 €","3,39 €","9,58 €","0,63 €","21.863,24 €","173,76 €","121,37 €","331,41 €","244,12 €","30,66 €","0,06 €","17,03 €","22,10 €","6,44 €","3,19 €","39,79 €","37,30 €","71,60 €","45,83 €","714,10 €","504,39 €","285,79 €","9,23 €","0,16 €","0,32 €","4,79 €","1,42 €","0,60 €","0,50 €","0,28 €","0,67 €","0,56 €","0,53 €","1,54 €","0,49 €","8,04 €","21.400,10 €","72,31 €","1.644,93 €"
"Hanoi, Vietnam","1,94 €","15,52 €","3,88 €","0,78 €","1,55 €","0,45 €","0,28 €","1,32 €","0,71 €","1,31 €","14,41 €","0,59 €","7,76 €","0,65 €","1,18 €","1,11 €","0,27 €","3,36 €","7,76 €","0,79 €","38.808,39 €","318,43 €","192,28 €","608,96 €","426,13 €","67,49 €","0,06 €","9,41 €","24,06 €","6,68 €","3,69 €","30,90 €","28,70 €","73,25 €","67,54 €","1.791,94 €","936,95 €","354,62 €","8,39 €","0,39 €","0,43 €","1,16 €","2,71 €","1,63 €","0,92 €","0,58 €","1,57 €","0,79 €","0,94 €","0,85 €","0,91 €","7,92 €","33.491,64 €","166,55 €","8.021,90 €"
"Ho Chi Minh City, Vietnam","1,94 €","17,50 €","3,87 €","0,78 €","1,36 €","0,43 €","0,26 €","1,21 €","0,66 €","1,26 €","11,35 €","0,47 €","9,72 €","0,73 €","1,13 €","0,97 €","0,23 €","2,45 €","5,83 €","0,80 €","38.894,22 €","421,19 €","284,19 €","971,40 €","588,11 €","51,25 €","0,08 €","10,42 €","21,48 €","6,82 €","3,50 €","37,62 €","29,14 €","81,51 €","66,79 €","2.317,13 €","1.102,68 €","347,14 €","9,15 €","0,47 €","0,54 €","1,17 €","2,37 €","1,18 €","0,93 €","0,72 €","1,72 €","0,71 €","0,77 €","0,77 €","0,92 €","9,69 €","30.780,17 €","109,65 €","7.237,44 €"
"Kathmandu, Nepal","1,99 €","11,92 €","5,56 €","2,38 €","3,18 €","0,45 €","0,20 €","0,67 €","0,43 €","1,29 €","7,48 €","0,28 €","6,75 €","1,78 €","2,50 €","1,99 €","0,16 €","3,69 €","7,15 €","0,87 €","29.976,83 €","155,63 €","100,89 €","295,43 €","186,01 €","24,92 €","0,02 €","16,66 €","24,02 €","8,50 €","3,06 €","24,30 €","27,81 €","49,71 €","38,55 €","1.228,74 €","596,05 €","184,17 €","11,06 €","1,99 €","0,60 €","2,78 €","1,69 €","0,95 €","0,32 €","0,28 €","1,54 €","0,79 €","0,50 €","0,90 €","0,41 €","4,39 €","46.216,93 €","55,92 €","1.154,07 €"
"Bangalore, India","2,53 €","12,66 €","3,16 €","1,90 €","3,80 €","0,44 €","0,19 €","0,53 €","0,44 €","0,81 €","5,79 €","0,36 €","7,59 €","1,57 €","2,99 €","3,80 €","0,38 €","3,00 €","15,82 €","0,98 €","11.390,48 €","213,50 €","124,18 €","545,83 €","315,83 €","22,24 €","0,01 €","12,42 €","20,00 €","5,18 €","3,80 €","29,66 €","27,71 €","42,78 €","35,07 €","1.578,13 €","685,08 €","579,22 €","9,19 €","0,63 €","0,23 €","0,76 €","2,08 €","0,93 €","0,36 €","0,54 €","1,63 €","0,68 €","0,39 €","0,68 €","0,41 €","4,42 €","22.444,75 €","87,82 €","2.473,25 €"
